ein,fre15,name15,add15,type15,subtype15,rev_15,fre12,name12,add12,type12,subtype12,rev_12,diff,diff_per,Name,lat,long,addree,status,source,flag_keep
30547139,2,the ywca of the pacific region,"2600 BANCROFT WAY,94704-1717",P,P27,293027,3,the ywca of the pacific region,"2600 BANCROFT WAY,94704-1717",P,P27,351445.3333,-58418.33333,-16.62231016,"2600 BANCROFT WAY,94704-1717",37.8687066,-122.2564822,"2600 Bancroft Way, Berkeley, CA 94704, USA",Match,Google,0
953530049,3,taiwanese american seniors association of southern california,"3629 SANTA ANITA AVE STE 138,91731-2449",P,P81,22271,3,taiwanese american seniors association of southern california,"3629 SANTA ANITA AVE STE 138,91731-2449",P,P81,26369,-4098,-15.54097615,"3629 SANTA ANITA AVE STE 138,91731-2449",34.0756785,-118.041708,"3629 Santa Anita Ave #138, El Monte, CA 91731, USA",Match,Google,1
201719535,3,asianweek foundation,"809 SACRAMENTO ST,94108-2116",P,P84,489749.3333,3,asianweek foundation,"809 SACRAMENTO ST,94108-2116",P,P84,574525.6667,-84776.33333,-14.75588268,"809 SACRAMENTO ST,94108-2116",37.7931842,-122.4063533,"809 Sacramento St, San Francisco, CA 94108, USA",Match,Google,1
942427398,3,yu ai kai japanese american community senior serv of san jose,"588 N 4TH ST,95112-5311",P,P81,1192540,3,yu-ai kai-japanese american community senior serv of san jose,"588 N 4TH ST,95112-5311",P,P81,1398838.333,-206298.3333,-14.74783243,"588 N 4TH ST,95112-5311",37.3481936,-121.8948153,"588 N 4th St, San Jose, CA 95112, USA",Match,Google,1
680004000,3,national indian justice center inc,"5250 AERO DR,95403-8069",I,I99,1700362.333,3,national indian justice center inc,"5250 AERO DR,95403-8069",I,I99,1985239,-284876.6667,-14.3497416,"5250 AERO DR,95403-8069",38.5088993,-122.7644942,"5250 Aero Dr, Santa Rosa, CA 95403, USA",Match,Google,0
952917933,3,united american indian involvement,"1125 W 6TH ST STE 400,90017-1879",P,P84,7172142,3,united american indian involvement,"1125 W 6TH ST STE 400,90017-1879",P,P84,8282343.667,-1110201.667,-13.40443854,"1125 W 6TH ST STE 400,90017-1879",34.05461,-118.2626665,"1125 W 6th St #400, Los Angeles, CA 90017, USA",Match,Google,0
942472564,3,california indian manpower consortium inc,"738 N MARKET BLVD,95834-1206",J,J20,4927564.667,3,california indian manpower consortium inc,"738 N MARKET BLVD,95834-1255",J,J20,5675802.667,-748238,-13.18294599,"738 N MARKET BLVD,95834-1255",38.6470111,-121.4787045,"738 N Market Blvd, Sacramento, CA 95834, USA",Match,Google,0
330271323,3,orange county japanese american association,"17332 IRVINE BLVD,92780-3036",P,P84,86327,3,orange county japanese american association,"2190 N CANAL ST,92865-3601",P,P84,99351.33333,-13024.33333,-13.10936944,"2190 N CANAL ST,92865-3601",33.823481,-117.8401083,"2190 N Canal St, Orange, CA 92865, USA",Match,Google,1
943152735,3,huong viet community center,"PO BOX 29936,94604-6036",P,P28,22430,3,huong viet community center,"PO BOX 29936,94604-6036",P,P28,25777.33333,-3347.333333,-12.98556872,"PO BOX 29936,94604-6036",37.8,-122.27,"Oakland, CA 94604, USA",Partial Match,Google,1
956111785,3,planned parenthood of the pacific southwest,"1075 CAMINO DEL RIO SOUTH,92108-3538",E,E42,47606622.33,3,planned parenthood of the pacific southwest,"1075 CAMINO DEL RIO S,92108-3538",E,E42,54685353.33,-7078731,-12.94447337,"1075 CAMINO DEL RIO S,92108-3538",32.7642443,-117.1534513,"1075 Camino del Rio S, San Diego, CA 92108, USA",Match,Google,0
680573772,3,eastern chinese school,"1908 DRISCOLL RD,94539-0000",P,P84,75899.66667,3,eastern chinese school,"1908 DRISCOLL RD,94539-4400",P,P84,87035,-11135.33333,-12.79408667,"1908 DRISCOLL RD,94539-4400",37.5426759,-121.9467052,"1908 Driscoll Rd, Fremont, CA 94539, USA",Match,Google,1
952372183,3,filipino american community of los angeles inc,"1740 W TEMPLE ST,90026-5422",P,P81,70670.66667,3,filipino american community of los angeles inc,"1740 W TEMPLE ST,90026-5422",P,P81,80789.66667,-10119,-12.52511666,"1740 W TEMPLE ST,90026-5422",34.0688379,-118.2644252,"1740 W Temple St, Los Angeles, CA 90026, USA",Match,Google,1
942551170,3,united indian nations inc,"1436 CLARKE ST B,94577-3635",J,J20,548209.6667,3,united indian nations inc,"1436 CLARKE ST B,94577-3635",J,J20,626517,-78307.33333,-12.49883616,"1436 CLARKE ST B,94577-3635",37.7228022,-122.157606,"1436 Clarke St, San Leandro, CA 94577, USA",Partial Match,Google,0
942796496,3,indochinese housing development corporation,"340 EDDY ST STE 100,94102-2631",L,L20,915032.3333,3,indochinese housing development corporation,"340 EDDY ST STE 100,94102-2631",L,L20,1044410.667,-129378.3333,-12.38768786,"340 EDDY ST STE 100,94102-2631",37.7841166,-122.4134519,"340 Eddy St STE 100, San Francisco, CA 94102, USA",Match,Google,1
953685388,3,vietnamese league of orange county,"13139 HARBOR BLVD 2ND FLOOR,92843-1717",P,P84,638385.3333,3,vietnamese league of orange county,"13139 HARBOR BLVD 2ND FLOOR,92843-1717",P,P84,727283.3333,-88898,-12.22329674,"13139 HARBOR BLVD 2ND FLOOR,92843-1717",33.7724916,-117.921376,"13139 Harbor Blvd 2ND FLOOR, Garden Grove, CA 92843, USA",Match,Google,1
942248390,3,asian community mental health board,"310 8TH ST STE 201,94607-6527",F,F32,6585028.333,3,asian community mental health board,"310 8TH ST STE 201,94607-6527",F,F32,7436319.667,-851291.3333,-11.44775065,"310 8TH ST STE 201,94607-6527",37.7990351,-122.2704574,"310 8th St #201, Oakland, CA 94607, USA",Match,Google,1
942179871,3,associated filipino organizations of san joaquin county,"PO BOX 1533,95812-1533",L,L20,1261127.333,3,associated filipino organizations of san joaquin county,"PO BOX 1533,95812-1533",L,L20,1421516,-160388.6667,-11.28293081,"PO BOX 1533,95812-1533",38.58,-121.49,"Sacramento, CA 95812, USA",Partial Match,Google,1
237292240,3,korean american youth foundation inc,"3550 WILSHIRE BLVD STE 640,90010-2437",N,N20,40062,3,korean american youth foundation inc,"3550 WILSHIRE BLVD,90010-2401",N,N20,45055,-4993,-11.08201088,"3550 WILSHIRE BLVD,90010-2401",34.0610984,-118.3022677,"3550 Wilshire Blvd, Los Angeles, CA 90010, USA",Match,Google,1
912153998,3,bay area asian sports,"PO BOX 31129,94131-0129",N,N62,207840.6667,3,bay area asian sports,"PO BOX 31129,94131-0129",N,N62,233399.6667,-25559,-10.950744,"PO BOX 31129,94131-0129",37.7401042,-122.4382307,"San Francisco, CA 94131, USA",Partial Match,Google,0
941669142,2,tule river indian health center inc,"PO BOX 768,93258-0768",E,E30,5597471,3,tule river indian health center inc,"PO BOX 768,93258-0768",E,E30,6217924.333,-620453.3333,-9.978463874,"PO BOX 768,93258-0768",36.07,-119.02,"Porterville, CA 93258, USA",Partial Match,Google,0
680361662,2,foothill indian education alliance sierra native american council,"PO BOX 1418,95623-1418",P,P84,314628,3,foothill indian education alliance sierra native american council,"PO BOX 1418,95623-1418",P,P84,347985.3333,-33357.33333,-9.585844614,"PO BOX 1418,95623-1418",38.6100779,-120.8613785,"El Dorado, CA 95623, USA",Partial Match,Google,0
330798087,3,southern california american indian resource center,"2124 B ARNOLD WAY,91901-2156",P,P84,905168,3,southern california american indian resource center,"2218 ALPINE BLVD,91901-2115",P,P84,1000115,-94947,-9.493608235,"2218 ALPINE BLVD,91901-2115",32.835681,-116.7661037,"2218 Alpine Blvd, Alpine, CA 91901, USA",Match,Google,0
942604543,3,southeast asian community center,"875 OFARRELL ST,94109-7073",P,P84,615705.6667,3,southeast asian community center,"875 O FARRELL ST,94109-7073",P,P84,680279.6667,-64574,-9.492272541,"875 O FARRELL ST,94109-7073",37.7847036,-122.4189859,"875 O'Farrell St, San Francisco, CA 94109, USA",Partial Match,Google,1
953626059,3,pacific coast sailing foundation,"5489 E OCEAN BLVD,90803-4405",N,N67,427940.6667,3,pacific coast sailing foundation,"5489 E OCEAN BLVD,90803-4405",N,N67,470382,-42441.33333,-9.022737548,"5489 E OCEAN BLVD,90803-4405",33.7518607,-118.1289319,"5489 E Ocean Blvd, Long Beach, CA 90803, USA",Match,Google,0
942302391,2,pacific family health,"PO BOX 4325,93744-4325",E,E60,157439,3,pacific family health,"PO BOX 4325,93744-4325",E,E60,173028,-15589,-9.00952447,"PO BOX 4325,93744-4325",36.76,-119.8,"Fresno, CA 93744, USA",Partial Match,Google,0
953763867,3,southern pacific historical and technical society,"1523 HOWARD ACCESS RD STE A,91786-2582",H,H80,184206.3333,3,southern pacific historical and technical society,"1523 HOWARD ACCESS RD STE A,91786-2582",H,H80,201965,-17758.66667,-8.792942672,"1523 HOWARD ACCESS RD STE A,91786-2582",34.1155095,-117.6783639,"1523 Howard Access Rd STE A, Upland, CA 91786, USA",Match,Google,0
521062592,3,northern california japanese sword club,"8 MARGARET AVE,94005-1652",N,N60,14930.33333,3,northern california japanese sword club,"8 MARGARET RD,94005-1652",N,N60,16356,-1425.666667,-8.716475096,"8 MARGARET RD,94005-1652",37.6789811,-122.4064196,"8 Margaret Ave, Brisbane, CA 94005, USA",Match,Google,0
943237212,3,community health for asian americans,"268 GRAND AVE,94610-4724",F,F30,3292355.667,3,community health for asian americans,"268 GRAND AVE,94610-4724",F,F30,3602949,-310593.3333,-8.620530941,"268 GRAND AVE,94610-4724",37.8097015,-122.2585206,"268 Grand Ave, Oakland, CA 94610, USA",Match,Google,1
941156555,3,blood centers of the pacific,"270 MASONIC AVE,",E,E61,60644768.67,3,blood centers of the pacific,"270 MASONIC AVE,94118-4417",E,E61,66042302.67,-5397534,-8.172843438,"270 MASONIC AVE,94118-4417",37.7791091,-122.4467708,"270 Masonic Ave, San Francisco, CA 94118, USA",Match,Google,0
942874693,3,senior taiwanese association of northern california,"C/O 28 N FIRST ST,95113-0000",P,P81,34055,3,senior taiwanese association of northern california,"C/O 28 N FIRST ST,95113-1221",P,P81,36758.66667,-2703.666667,-7.355181544,"C/O 28 N FIRST ST,95113-1221",37.3367185,-121.8907248,"28 N 1st St O, San Jose, CA 95113, USA",Partial Match,Google,1
943296213,3,cambodian community development incorporated,"875 OFARRELL ST STE 103,94109-7074",P,P84,53677.33333,3,cambodian community development incorporated,"875 OFARRELL ST STE 103,94109-7074",P,P84,57847.66667,-4170.333333,-7.209164299,"875 OFARRELL ST STE 103,94109-7074",37.7847036,-122.4189859,"875 O'Farrell St #103, San Francisco, CA 94109, USA",Match,Google,1
274377165,3,saratoga vision chinese school,"19901 MERRIBROOK DR,95070-5445",G,G41,49336.66667,2,saratoga vision chinese school,"19901 MERRIBROOK DR,95070-5445",G,G41,53161,-3824.333333,-7.193870193,"19901 MERRIBROOK DR,95070-5445",37.2695981,-122.0211893,"19901 Merribrook Dr, Saratoga, CA 95070, USA",Match,Google,1
201489985,3,vietnamese american youth alliance corp,"PO BOX 711912,92171-1912",O,O01,78513,3,vietnamese american youth alliance corp,"PO BOX 711912,92171-1912",O,O01,84330.66667,-5817.666667,-6.898637111,"PO BOX 711912,92171-1912",32.78,-117.17,"San Diego, CA 92171, USA",Partial Match,Google,1
680362028,3,indian valley junior golf foundation,"3035 NOVATO BLVD,94947-1002",N,N11,25257,3,indian valley junior golf foundation,"3035 NOVATO BLVD,94947-1002",N,N11,26988.33333,-1731.333333,-6.415117643,"3035 NOVATO BLVD,94947-1002",38.120749,-122.635574,"3035 Novato Blvd, Novato, CA 94947, USA",Match,Google,0
510173858,3,asian rehabilitation service incorporated,"1701 EAST WASHINGTON BLVD,90021-3124",P,P84,3218636,3,asian rehabilitation service incorporated,"1701 EAST WASHINGTON BLVD,90021-3124",P,P84,3439144.667,-220508.6667,-6.411729893,"1701 EAST WASHINGTON BLVD,90021-3124",34.0208074,-118.2423377,"1701 E Washington Blvd, Los Angeles, CA 90021, USA",Match,Google,1
943105388,3,asian american donor program,"2363 MARINER SQUARE DR STE 241,94501-6400",E,E65,679452,3,asian american donor program,"2169 HARBOR BAY PKWY,94502-3019",E,E65,723762.3333,-44310.33333,-6.122221521,"2169 HARBOR BAY PKWY,94502-3019",37.7288105,-122.2472204,"2169 Harbor Bay Pkwy, Alameda, CA 94502, USA",Match,Google,1
943401651,3,indo americans for better community,"707 PILGRIM LOOP,94539-6287",M,M20,78963.66667,3,indo-americans for better community,"707 PILGRIM LOOP,94539-6287",M,M20,83822.33333,-4858.666667,-5.796386802,"707 PILGRIM LOOP,94539-6287",37.5217884,-121.9158877,"707 Pilgrim Loop, Fremont, CA 94539, USA",Match,Google,1
753227469,3,vietnamese buddhist meditation congregation zen study office inc,"8811 KATELLA AVE,92804-6238",P,P50,50587,3,vietnamese buddhist meditation congregation-zen study office inc,"8811 KATELLA AVE,92804-6238",P,P50,53511.66667,-2924.666667,-5.465474819,"8811 KATELLA AVE,92804-6238",33.8034234,-117.9788511,"8811 Katella Ave, Anaheim, CA 92804, USA",Match,Google,1
942514195,3,korean american senior services inc,"745 BUCHANAN ST,94102-4163",P,P84,44966.66667,3,korean american senior services inc,"745 BUCHANAN ST,94102-4163",P,P84,47464.33333,-2497.666667,-5.262196878,"745 BUCHANAN ST,94102-4163",37.7768299,-122.428296,"745 Buchanan St, San Francisco, CA 94102, USA",Match,Google,1
237031625,3,southern california indian center inc,"10175 SLATER AVE STE 150,92708-4717",P,P84,2735803.333,3,southern california indian center inc,"10175 SLATER AVE STE 175,92708-4702",P,P84,2880137,-144333.6667,-5.011347261,"10175 SLATER AVE STE 175,92708-4702",33.7096107,-117.951764,"10175 Slater Ave #175, Fountain Valley, CA 92708, USA",Match,Google,0
943075783,3,korean american community center,"745 BUCHANAN ST,94102-4163",P,P84,136890,3,korean american community center,"745 BUCHANAN ST,94102-4163",P,P84,144093.6667,-7203.666667,-4.99929444,"745 BUCHANAN ST,94102-4163",37.7768299,-122.428296,"745 Buchanan St, San Francisco, CA 94102, USA",Match,Google,1
956220754,3,venice japanese community center,"12448 BRADDOCK DR,90066-6814",P,P28,586116,3,venice japanese community center,"12448 BRADDOCK DR,90066-6814",P,P28,616741.3333,-30625.33333,-4.965669022,"12448 BRADDOCK DR,90066-6814",33.9882699,-118.4195606,"12448 Braddock Dr, Los Angeles, CA 90066, USA",Match,Google,1
237394580,3,asian neighborhood design inc,"1245 HOWARD ST,94103-2711",J,J22,1130325.333,3,asian neighborhood design inc,"1245 HOWARD ST,94103-2711",J,J22,1188820,-58494.66667,-4.920397257,"1245 HOWARD ST,94103-2711",37.7755873,-122.4122013,"1245 Howard St, San Francisco, CA 94103, USA",Match,Google,0
202972346,2,support of retired sisters in vietnam foundation,"8781 ANTHONY DR,92647-5044",P,P84,175857,2,support of retired sisters in vietnam foundation,"8781 ANTHONY DR,92647-5044",P,P84,184935,-9078,-4.908751724,"8781 ANTHONY DR,92647-5044",33.716673,-117.9753982,"8781 Anthony Dr, Huntington Beach, CA 92647, USA",Match,Google,0
770457957,2,american indian education center,"PO BOX 320968,95032-0116",P,P84,171843,3,american indian education center,"PO BOX 320968,95032-0116",P,P84,180675,-8832,-4.888335409,"PO BOX 320968,95032-0116",37.2260616,-121.9302449,"Los Gatos, CA 95032, USA",Partial Match,Google,0
943184812,3,nicos chinese health coalition,"1208 MASON ST,94108-1012",E,E70,617591.3333,3,nicos chinese health coalition,"1208 MASON ST,94108-1012",E,E70,648340.6667,-30749.33333,-4.742774118,"1208 MASON ST,94108-1012",37.7948094,-122.411276,"1208 Mason St, San Francisco, CA 94108, USA",Match,Google,1
680061411,3,capitol area indian resources inc,"3423 ARDEN WAY,95825-3216",P,P84,267674.3333,3,capitol area indian resources inc,"3423 ARDEN WAY,95825-2018",P,P84,277758.6667,-10084.33333,-3.630609786,"3423 ARDEN WAY,95825-2018",38.5960915,-121.384326,"3423 Arden Way, Sacramento, CA 95825, USA",Match,Google,0
953250096,3,lakewood pacific junior football incorporated,"PO BOX 486,90714-0486",N,N65,73608.33333,3,lakewood pacific junior football incorporated,"PO BOX 486,90714-0486",N,N65,76311.33333,-2703,-3.542068893,"PO BOX 486,90714-0486",,,,No Match,Google,0
942176139,3,asian americans advancing justice asian law caucus,"55 COLUMBUS AVE,94111-2101",I,I80,2715920.333,3,asian law caucus inc,"55 COLUMBUS AVE,94111-2101",I,I80,2799573,-83652.66667,-2.988050916,"55 COLUMBUS AVE,94111-2101",37.7959047,-122.4043929,"55 Columbus Ave, San Francisco, CA 94111, USA",Match,Google,1
920194073,3,san mateo japanese american community center,"415 S CLAREMONT ST,94401-0000",P,P28,36433.33333,3,san mateo japanese-american community center,"415 S CLAREMONT ST,94401-3324",P,P28,37462.66667,-1029.333333,-2.747624302,"415 S CLAREMONT ST,94401-3324",37.565571,-122.31941,"415 S Claremont St, San Mateo, CA 94401, USA",Match,Google,1
954021756,3,asian american christian counseling services inc,"2550 W MAIN ST STE 202,91801-7003",F,F32,439199.3333,3,asian american christian counseling services inc,"2550 W MAIN ST STE 202,91801-7003",F,F32,451429,-12229.66667,-2.709100804,"2550 W MAIN ST STE 202,91801-7003",34.0949533,-118.1517521,"2550 W Main St #202, Alhambra, CA 91801, USA",Match,Google,1
364026909,3,north america taiwanese medical association foundation,"7923 GARDEN GROVE BLVD,92841-4225",G,G11,114339.6667,3,north america taiwanese medical association foundation,"7923 GARDEN GROVE BLVD,92841-4225",G,G11,117401.6667,-3062,-2.608140146,"7923 GARDEN GROVE BLVD,92841-4225",33.7741366,-117.9945367,"7923 Garden Grove Blvd, Garden Grove, CA 92841, USA",Match,Google,1
943226237,3,yellow river chinese school,"PO BOX 15393,94539-2493",P,P84,265127.3333,2,yellow river chinese school,"40944 CASCADO PL,94539-3744",P,P84,271892,-6764.666667,-2.487997685,"40944 CASCADO PL,94539-3744",37.5443217,-121.9477777,"40944 Cascado Pl, Fremont, CA 94539, USA",Match,Google,1
942489666,3,asian pacific community counseling,"7273 14TH AVE STE 120-B,95820-3500",F,F32,2655922,3,asian pacific community counseling,"7273 14TH AVE STE 120-B,95820-3500",F,F32,2715481.333,-59559.33333,-2.193325088,"7273 14TH AVE STE 120-B,95820-3500",38.5400867,-121.4189213,"7273 14th Ave STE 120-B, Sacramento, CA 95820, USA",Partial Match,Google,1
770500631,3,pacific stroke association,"3801 MIRANDA AVE,94304-1207",G,G43,294662.3333,2,pacific stroke association,"3801 MIRANDA AVE,94304-1207",G,G43,300408,-5745.666667,-1.912621058,"3801 MIRANDA AVE,94304-1207",37.4054073,-122.1400089,"3801 Miranda Ave, Palo Alto, CA 94304, USA",Match,Google,0
942197343,3,pacific legal foundation,"930 G ST,95814-1802",I,I80,12543840,3,pacific legal foundation,"930 G ST,95814-1802",I,I80,12732089,-188249,-1.478539775,"930 G ST,95814-1802",38.5833196,-121.4925229,"930 G St, Sacramento, CA 95814, USA",Match,Google,0
770371647,2,osa center for indian education,"2224 N FINE AVE STE 104,93727-1500",P,P83,132079,3,osa center for indian education,"2224 N FINE AVE STE 104,93727-1500",P,P83,133402.3333,-1323.333333,-0.991986647,"2224 N FINE AVE STE 104,93727-1500",36.7704599,-119.7268133,"2224 N Fine Ave #104, Fresno, CA 93727, USA",Match,Google,0
954239439,3,pacific rim housing corporation,"1300 E GREEN ST,90071-2609",L,L24,449023,3,pacific rim housing corporation,"1300 E GREEN ST,91106-2606",L,L24,453399,-4376,-0.965154312,"1300 E GREEN ST,91106-2606",34.1442962,-118.1241926,"1300 E Green St, Pasadena, CA 91106, USA",Match,Google,0
953245254,3,korean community services inc,"8633 KNOTT AVE,90620-3852",I,I23,2808456,3,korean community services inc,"8633 KNOTT AVE,90620-3852",I,I23,2835210,-26754,-0.943633805,"8633 KNOTT AVE,90620-3852",33.8373808,-118.0114274,"8633 Knott Ave, Buena Park, CA 90620, USA",Match,Google,1
942279881,2,indian alcoholism commission of california inc,"448 REDCLIFF DR STE 12,96002-0159",F,F21,51477,3,indian alcoholism commission of california inc,"448 REDCLIFF DR STE 12,96002-0159",F,F21,51838.33333,-361.3333333,-0.697038871,"448 REDCLIFF DR STE 12,96002-0159",40.575366,-122.3635946,"448 Redcliff Dr #12, Redding, CA 96002, USA",Match,Google,0
330453565,3,asian gang investigators association of california,"2648 E WORKMAN AVE 3001-218,91791-1604",I,I0321,142706,3,asian gang investigators association of california,"PO BOX 4241,91791-0241",I,I0321,143263.6667,-557.6666667,-0.389258965,"PO BOX 4241,91791-0241",34.0566376,-117.8956062,"West Covina, CA 91791, USA",Partial Match,Google,1
680350323,3,hmong women heritage association,"7275 E SOUTHGATE DRIVE,95823-2628",P,P84,770985,3,hmong women heritage association,"7275 E SOUTHGATE DRIVE,95823-0000",P,P84,773354.6667,-2369.666667,-0.306413961,"7275 E SOUTHGATE DRIVE,95823-0000",38.4933928,-121.4362435,"7275 E Southgate Dr, Sacramento, CA 95823, USA",Match,Google,1
272829912,3,pacific futbol club,"701 S HAM LN STE F,95253-0188",N,N64,59245,2,pacific futbol club,"710 S BECKMAN RD STE C,95240-3132",N,N64,59383.5,-138.5,-0.233229769,"710 S BECKMAN RD STE C,95240-3132",38.1265542,-121.256308,"710 Beckman Rd STE C, Lodi, CA 95240, USA",Match,Google,0
260897033,3,indian fine arts academy of sandiego,"16051 AVENIDA CALMA,92091-4178",P,P84,183337.6667,3,indian fine arts academy of sandiego,"16051 AVENIDA CALMA,92091-4178",P,P84,183497.3333,-159.6666667,-0.087013072,"16051 AVENIDA CALMA,92091-4178",32.9908954,-117.2149496,"16051 Avenida Calma, Rancho Santa Fe, CA 92091, USA",Match,Google,0
680066254,2,indian senior center incorporated,"425 N STATE ST,95482-4421",P,P81,124493,3,indian senior center incorporated,"425 N STATE ST,95482-4421",P,P81,124564.3333,-71.33333333,-0.057266259,"425 N STATE ST,95482-4421",39.1521666,-123.2079024,"425 N State St, Ukiah, CA 95482, USA",Match,Google,0
953506398,3,chinese community on aging housing corp,"1101 E ORANGEWOOD AVE STE 200,92805-6809",L,L22,3367581.333,3,chinese community on aging housing corp,"1101 EAST ORANGEWOOD AVENUE,92805-6827",L,L22,3368760.333,-1179,-0.034998037,"1101 EAST ORANGEWOOD AVENUE,92805-6827",33.7967328,-117.892997,"1101 E Orangewood Ave, Anaheim, CA 92805, USA",Match,Google,1
271511427,3,fullerton indians football booster club,"201 E CHAPMAN AVE,92832-1925",N,N1165,98389.33333,3,fullerton indians football booster club,"201 E CHAPMAN AVE,92832-1925",N,N1165,98185,204.3333333,0.20811054,"201 E CHAPMAN AVE,92832-1925",33.8745229,-117.9202585,"201 E Chapman Ave, Fullerton, CA 92832, USA",Match,Google,0
371552124,3,vietnamese american good samaritan charities inc,"5646 E VISTA DEL CERRO,92807-3831",P,P99,71732.66667,3,vietnamese american good samaritan charities inc,"5646 E VISTA DEL CERRO,92807-3831",P,P99,71381.66667,351,0.491722898,"5646 E VISTA DEL CERRO,92807-3831",33.8459169,-117.7910019,"5646 E Vista Del Cerro, Anaheim, CA 92807, USA",Match,Google,1
264603731,3,south asian behavioral health and training foundation,"2249 PACHECO ST,94520-2015",F,F01,160114.3333,3,south asian behavioral health and training foundation,"2249 PACHECO ST,94520-2015",F,F01,159312.3333,802,0.50341363,"2249 PACHECO ST,94520-2015",37.9793995,-122.0338231,"2249 Pacheco St, Concord, CA 94520, USA",Match,Google,1
942151392,3,round valley indian health center inc,"PO BOX 247,95428-0247",E,E30,4778592.333,3,round valley indian health center inc,"PO BOX 247,95428-0247",E,E30,4733411.667,45180.66667,0.95450533,"PO BOX 247,95428-0247",39.8066831,-123.213851,"Covelo, CA 95428, USA",Partial Match,Google,0
951647829,3,japanese institute of sawtelle west los angeles japanese center,"2110 CORINTH AVE,90025-0000",P,P28,209196,3,japanese institute of sawtelle,"2110 CORINTH AVE,90025-6224",P,P28,206523.3333,2672.666667,1.294123344,"2110 CORINTH AVE,90025-6224",34.0387893,-118.4427637,"2110 Corinth Ave, Los Angeles, CA 90025, USA",Match,Google,1
953528706,3,cambodian association of america,"2390 PACIFIC AVE,90806-3051",P,P84,2626271,3,cambodian association of america,"2390 PACIFIC AVE,90806-3051",P,P84,2585671.333,40599.66667,1.570178937,"2390 PACIFIC AVE,90806-3051",33.8005521,-118.1934016,"2390 Pacific Ave, Long Beach, CA 90806, USA",Match,Google,1
943262050,3,pacific estates residence association,"300 PACIFIC AVE,94533-7416",L,L20,1028396,3,pacific estates residence association,"300 PACIFIC AVE,94533-7416",L,L20,1008062.333,20333.66667,2.017104101,"300 PACIFIC AVE,94533-7416",38.2701431,-122.0363543,"300 Pacific Ave, Fairfield, CA 94533, USA",Match,Google,0
510144048,3,pacific manor inc,"PO BOX 7070,91109-7070",L,L22,1295332.667,3,pacific manor inc,"PO BOX 7070,91109-7070",L,L22,1267613.333,27719.33333,2.186734125,"PO BOX 7070,91109-7070",34.1561783,-118.1528623,"Pasadena, CA 91109, USA",Partial Match,Google,0
954505561,3,pacific bridge housing corporation,"500 S MCPHERRIN AVE,91754-3333",L,L41,163237.6667,3,pacific bridge housing corporation,"500 S MCPHERRIN AVE,91754-3333",L,L41,159521,3716.666667,2.32989178,"500 S MCPHERRIN AVE,91754-3333",34.0564273,-118.1271868,"500 S Mc Pherrin Ave, Monterey Park, CA 91754, USA",Match,Google,0
952848695,3,asian american drug abuse program inc,"2900 CRENSHAW BLVD,90016-4265",F,F20,9844703,3,asian american drug abuse program inc,"2900 CRENSHAW BLVD,90016-4265",F,F20,9597648,247055,2.574120243,"2900 CRENSHAW BLVD,90016-4265",34.0293099,-118.3345693,"2900 Crenshaw Blvd, Los Angeles, CA 90018, USA",Match,Google,1
237088700,2,tamalpais pacific,"135 PORTO MARINO,94920-1316",L,L80,247461,3,tamalpais pacific,"660 AMARANTH BLVD,94941-2605",L,L21,241216.6667,6244.333333,2.588682374,"660 AMARANTH BLVD,94941-2605",37.8978046,-122.5575354,"660 Amaranth Blvd, Mill Valley, CA 94941, USA",Match,Google,0
942977665,3,asian immigrant women advocates inc,"310 8TH ST STE 301,94607-4253",P,P84,307462.6667,3,asian immigrant women advocates inc,"310 8TH ST STE 301,94607-4253",P,P84,299563,7899.666667,2.637063545,"310 8TH ST STE 301,94607-4253",37.7990351,-122.2704574,"310 8th St #301, Oakland, CA 94607, USA",Match,Google,1
942813695,3,east bay korean american senior services center,"1723 TELEGRAPH AVE,94612-2107",P,P81,161541.3333,3,east bay korean-american senior services center,"1723 TELEGRAPH AVE,94612-2107",P,P81,157048,4493.333333,2.861121016,"1723 TELEGRAPH AVE,94612-2107",37.8072981,-122.270462,"1723 Telegraph Ave, Oakland, CA 94612, USA",Match,Google,1
562413890,3,friendship house american indian healing center inc,"56 JULIAN AVE,94103-3507",P,P84,453620,3,friendship house american indian healing center inc,"56 JULIAN AVE,94103-3507",P,P84,440913.3333,12706.66667,2.881896669,"56 JULIAN AVE,94103-3507",37.7673672,-122.4213751,"56 Julian Ave, San Francisco, CA 94103, USA",Match,Google,0
943244935,3,aphasia center of california,"3996 LYMAN RD,94602-1857",G,G80,179825,3,aphasia center of california,"3996 LYMAN RD,94602-1857",G,G80,173697,6128,3.527982636,"3996 LYMAN RD,94602-1857",37.8076386,-122.2118166,"3996 Lyman Rd, Oakland, CA 94602, USA",Match,Google,0
952506788,3,indian health council,"50100 GOLSH RD,92061-0406",E,E30,21008871,3,indian health council,"PO BOX 406,92061-0406",E,E30,20243651.67,765219.3333,3.780045942,"PO BOX 406,92061-0406",33.3243386,-116.9616941,"Pala, CA 92061, USA",Partial Match,Google,0
953133613,3,the pacific pride foundation inc,"126 E HALEY ST A-11,93101-2389",G,G81,1931085.333,3,the pacific pride foundation inc,"126 E HALEY ST A-11,93101-2389",G,G81,1860028,71057.33333,3.82022923,"126 E HALEY ST A-11,93101-2389",34.4182398,-119.6933308,"126 E Haley St, Santa Barbara, CA 93101, USA",Partial Match,Google,0
